[SIL] tcl             | SAMSUNG                        | marka adi model kodu olarak: 'SAMSUNG'
[SIL] telefunken      | 4654                           | sadece rakam
[SIL] telefunken      | KVKK                           | cop kelime: 'kvkk'
[SIL] telefunken      | PHILIPS                        | marka adi model kodu olarak: 'PHILIPS'
[SIL] telefunken      | SAMSUNG                        | marka adi model kodu olarak: 'SAMSUNG'
[SIL] toshiba         | 4654                           | sadece rakam
[SIL] toshiba         | KVKK                           | cop kelime: 'kvkk'
[SIL] vestel          | 4654                           | sadece rakam
[SIL] vestel          | KVKK                           | cop kelime: 'kvkk'
[SIL] vestel          | PHILIPS                        | marka adi model kodu olarak: 'PHILIPS'
[SIL] vestel          | SAMSUNG                        | marka adi model kodu olarak: 'SAMSUNG'
[SIL] vestel          | VESTEL                         | marka adi model kodu olarak: 'VESTEL'
[SIL] xiaomi          | 4654                           | sadece rakam
[SIL] xiaomi          | KVKK                           | cop kelime: 'kvkk'

============================================================
OZET
============================================================
Silinen  : 130
Kalan    : 453
Markalar : 21
